time 	 X22Y22Z22 	 X33Y33Z33 	 X11Y22Z11 	 X21Y22Z33 	 X21Y22Z11
0	273.15	273.15	273.15	273.15	273.15
1	273.15	273.15	273.15	273.15	273.15
2	273.15	273.15	273.15	273.15	273.15
3	273.166	273.167	273.161	273.167	273.161
4	273.407	273.4	273.327	273.409	273.327
5	274.595	274.54	274.215	274.596	274.216
6	278.143	277.941	277.116	278.142	277.116
7	286.609	286.059	284.572	286.606	284.575
8	304.954	303.682	301.604	304.944	301.618
9	343.186	340.534	338.304	343.169	338.345
10	421.112	415.96	414.542	421.088	414.647
11	572.743	563.373	564.368	572.71	564.597
12	825.72	810.177	815.438	825.675	815.878
13	1090.75	1068.53	1078.46	1090.7	1079.23
14	1189.43	1162.66	1175	1189.36	1176.25
15	1138.74	1110.12	1122.04	1138.66	1123.94
16	1038.42	1009.64	1019.3	1038.33	1022.03
17	940.125	911.923	918.414	940.015	922.188
18	857.366	829.994	832.896	857.239	837.917
19	790.451	763.937	763.057	790.305	769.524
20	736.681	710.962	706.21	736.513	714.307
21	693.252	668.231	659.569	693.058	669.459
22	657.875	633.444	620.867	657.651	632.689
23	628.792	604.846	588.374	628.533	602.239
24	604.678	581.118	560.789	604.378	576.781
25	584.527	561.26	537.133	584.178	555.308
26	567.57	544.509	516.66	567.161	537.048
27	553.21	530.28	498.795	552.732	521.405
28	540.98	518.114	483.092	540.423	507.912
29	530.512	507.646	469.196	529.864	496.195
30	521.507	498.587	456.824	520.755	485.96
31	513.727	490.704	445.747	512.858	476.964
32	506.976	483.803	435.777	505.972	469.012
33	501.094	477.733	426.762	499.939	461.943
34	495.95	472.364	418.572	494.626	455.625
35	491.432	467.59	411.101	489.923	449.946
36	487.451	463.323	404.258	485.735	444.815
37	483.928	459.489	397.967	481.986	440.154
38	480.8	456.027	392.163	478.613	435.899
39	478.012	452.884	386.791	475.559	431.994
40	475.518	450.018	381.803	472.779	428.394
41	473.279	447.394	377.157	470.236	425.058
42	471.261	444.977	372.818	467.894	421.953
43	469.436	442.743	368.756	465.728	419.05
44	467.781	440.669	364.943	463.713	416.325
45	466.273	438.731	361.355	461.823	413.757
46	464.895	436.918	357.973	460.048	411.328
47	463.632	435.215	354.779	458.372	409.021
48	462.471	433.606	351.755	456.778	406.825
49	461.399	432.084	348.889	455.258	404.726
50	460.406	430.634	346.167	453.799	402.715
51	459.485	429.25	343.578	452.393	400.784
52	458.627	427.929	341.113	451.036	398.924
53	457.826	426.662	338.762	449.722	397.129
54	457.077	425.444	336.518	448.445	395.394
55	456.373	424.272	334.373	447.201	393.713
56	455.711	423.14	332.321	445.985	392.082
57	455.087	422.045	330.356	444.795	390.497
58	454.497	420.983	328.472	443.627	388.955
59	453.939	419.953	326.664	442.48	387.452
60	453.409	418.952	324.929	441.35	385.987
61	452.906	417.977	323.262	440.237	384.555
62	452.427	417.027	321.66	439.139	383.157
63	451.971	416.1	320.118	438.054	381.789
64	451.535	415.194	318.634	436.982	380.45
65	451.119	414.308	317.205	435.92	379.138
66	450.72	413.441	315.828	434.87	377.853
67	450.339	412.591	314.5	433.829	376.592
68	449.973	411.759	313.219	432.797	375.354
69	449.622	410.942	311.984	431.774	374.14
70	449.284	410.14	310.79	430.759	372.946
71	448.96	409.352	309.638	429.752	371.773
72	448.649	408.578	308.525	428.752	370.619
73	448.349	407.818	307.448	427.76	369.484
74	448.061	407.069	306.407	426.775	368.367
75	447.784	406.332	305.4	425.796	367.267
76	447.517	405.608	304.426	424.824	366.183
77	447.259	404.893	303.482	423.859	365.115
78	447.011	404.19	302.569	422.9	364.061
79	446.772	403.497	301.684	421.947	363.022
80	446.542	402.813	300.826	421.001	361.996
81	446.32	402.139	299.995	420.06	360.984
82	446.106	401.474	299.189	419.126	359.984
83	445.9	400.819	298.407	418.197	358.996
84	445.702	400.171	297.649	417.274	358.02
85	445.51	399.532	296.913	416.357	357.055
86	445.325	398.901	296.199	415.445	356.101
87	445.147	398.278	295.506	414.539	355.157
88	444.975	397.662	294.834	413.639	354.223
89	444.81	397.054	294.181	412.744	353.299
90	444.651	396.452	293.547	411.854	352.384
91	444.497	395.858	292.932	410.97	351.478
92	444.349	395.269	292.334	410.091	350.582
93	444.206	394.688	291.754	409.217	349.694
94	444.069	394.113	291.19	408.349	348.814
95	443.936	393.543	290.643	407.485	347.943
96	443.809	392.98	290.111	406.627	347.081
97	443.686	392.422	289.594	405.774	346.226
98	443.567	391.87	289.093	404.925	345.379
99	443.454	391.323	288.606	404.082	344.54
100	443.344	390.782	288.132	403.244	343.708
101	443.238	390.246	287.673	402.41	342.884
102	443.137	389.714	287.226	401.582	342.068
103	443.039	389.188	286.793	400.758	341.258
104	442.945	388.666	286.372	399.939	340.457
105	442.855	388.149	285.963	399.124	339.662
106	442.768	387.636	285.566	398.314	338.875
107	442.685	387.127	285.181	397.509	338.094
108	442.605	386.623	284.807	396.709	337.321
109	442.528	386.123	284.444	395.913	336.555
110	442.454	385.627	284.091	395.122	335.796
111	442.383	385.135	283.749	394.335	335.044
112	442.316	384.648	283.416	393.554	334.299
113	442.249	384.162	283.094	392.775	333.56
114	442.189	383.683	282.781	392.003	332.829
115	442.127	383.205	282.477	391.233	332.104
116	442.069	382.73	282.182	390.468	331.386
117	442.017	382.262	281.897	389.71	330.676
118	441.967	381.797	281.619	388.956	329.972
119	441.917	381.333	281.35	388.205	329.274
120	441.867	380.872	281.089	387.457	328.584
121	441.821	380.414	280.836	386.713	327.899
122	441.777	379.959	280.59	385.974	327.222
123	441.736	379.509	280.352	385.241	326.552
124	441.7	379.063	280.122	384.513	325.888
125	441.666	378.621	279.898	383.791	325.231
126	441.633	378.18	279.681	383.071	324.581
127	441.597	377.739	279.471	382.352	323.937
128	441.555	377.295	279.266	381.631	323.299
129	441.514	376.854	279.068	380.913	322.666
130	441.488	376.424	278.877	380.211	322.042
131	441.481	376.009	278.692	379.525	321.426
132	441.462	375.587	278.512	378.834	320.815
133	441.415	375.148	278.337	378.123	320.208
