time 	Experimental(70.29,0,150)	Computed(70.29,0,150)	Experimental(79.12,0,150)	Computed(79.12,0,150)	Experimental(92.28,0,150)	Computed(92.28,0,150)	Experimental(100.2,0,150)	Computed(100.2,0,150)	Experimental(70.15,30,150)	Computed(70.15,30,150)	Experimental(78.2,30,150)	Computed(78.2,30,150)	Experimental(92.06,30,150)	Computed(92.06,30,150)	
0	105	105	105.01	105	104.99	105	104.98	105	104.97	105	104.97	105	104.98	105
1	105.01	105	104.99	105	104.99	105	104.95	105	104.96	105	104.96	105	104.95	105
2	104.99	105	104.92	105	105.02	105	104.94	105	104.96	105	104.96	105	105.15	105
3	104.98	105	104.85	105	105.06	105	104.93	105	104.95	105	104.94	105	105.01	105
4	104.96	105	104.82	105	105.1	105	104.94	105	104.95	105	104.95	105	104.97	105
5	104.96	105	104.79	105	105.11	105	104.95	105	104.96	105	104.96	105	105.01	105
6	104.93	105	104.76	105	105.11	105	104.94	105	104.96	105	104.96	105	105.35	105
7	104.92	105	104.73	105	105.12	105	104.94	105	104.97	105	104.96	105	105.03	105
8	104.91	105	104.72	105	105.15	105	104.95	105	105.05	105	104.98	105	104.99	105
9	104.9	105	104.72	105	105.16	105	104.96	105	105.02	105	105	105	105	105
10	104.9	105	104.7	105	105.16	105	104.96	105	105.05	105	105.01	105	104.99	105
11	104.89	105	104.7	105	105.18	105	104.97	105	105.07	105	105.02	105	104.98	105
12	104.87	105	104.68	105	105.18	105	104.98	105	105.11	105	105.04	105	105	105
13	104.87	105	104.68	105	105.19	105	104.98	105	105.13	105	105.06	105	105	105
14	104.87	105	104.67	105	105.19	105	104.97	105	105.13	105	105.05	105	105.02	105
15	104.87	105	104.67	105	105.21	105	104.98	105	105.16	105	105.07	105	105.04	105
16	104.89	105	104.67	105	105.21	105	104.99	105	105.18	105	105.09	105	105.05	105
17	104.89	105	104.68	105	105.21	105	104.99	105	105.21	105	105.11	105	105.07	105
18	104.89	105	104.68	105	105.22	105	105	105	105.24	105	105.13	105	105.09	105
19	104.9	105	104.68	105	105.23	105	105.01	105	105.26	105	105.15	105	105.11	105
20	104.91	105	104.7	105	105.25	105	105.02	105	105.32	105	105.19	105	105.14	105
21	104.92	105	104.71	105	105.27	105	105.04	105	105.34	105	105.22	105	105.19	105
22	104.93	105	104.73	105	105.28	105	105.05	105	105.38	105	105.25	105	105.2	105
23	104.95	105	104.74	105	105.29	105	105.06	105	105.41	105	105.36	105	105.21	105
24	104.96	105	104.75	105	105.29	105	105.07	105	105.47	105	105.34	105	105.24	105
25	104.97	105	104.76	105	105.32	105	105.09	105	105.5	105	105.41	105	105.28	105
26	105	105	104.78	105	105.33	105	105.09	105	105.55	105	105.45	105	105.31	105
